CNL_Z,Density_0108,GR_Z,P-wave_0108,S-wave_0108
21.3781,2.4726,67.6265,93.2184,159.8388
21.9105,2.4626,71.8058,94.3731,160.7669
22.432,2.457,76.3394,95.093,161.5089
22.8231,2.457,79.7417,95.3273,162.5473
23.0267,2.4626,80.7907,95.1539,164.3619
23.0368,2.4715,79.3126,94.9421,167.2058
22.9224,2.4794,76.1464,95.0615,171.3636
22.8593,2.4816,72.8232,97.6447,178.5957
23.0637,2.476,70.7188,100.1322,184.4281
23.6987,2.4581,70.5501,102.8596,188.7798
24.7854,2.4312,72.5344,105.1635,190.7691
26.1304,2.401,76.2424,106.0782,189.8282
27.2709,2.3786,80.1107,105.2389,184.5861
27.7882,2.3753,82.7359,102.4788,174.9734
27.3777,2.3954,82.4133,97.9478,165.4041
25.8335,2.4424,76.9678,91.9837,155.9383
23.5549,2.514,67.1194,85.6039,147.6478
20.9735,2.5991,54.3812,79.6714,141.4122
18.6445,2.6752,41.1875,75.0535,138.5912
17.3063,2.72,30.8415,72.8308,140.9678
17.2205,2.7244,25.0438,72.9874,146.0316
18.4754,2.692,24.6263,75.3836,152.9571
20.9272,2.6383,29.7566,79.5711,160.8364
24.3144,2.5745,40.4189,84.9696,169.207
28.0229,2.5073,53.6727,90.5732,176.5172
31.5825,2.4402,66.6407,95.6552,180.2416
34.5146,2.3831,76.9688,99.5644,181.8761
36.217,2.3451,83.2567,101.5483,181.539
36.598,2.3294,86.6126,101.7668,179.3308
35.645,2.335,87.7987,100.4859,174.6012
33.5355,2.3529,87.28,98.2125,169.4442
30.5597,2.3764,85.0596,95.5921,164.8674
27.339,2.4033,81.5256,93.2657,160.9652
24.3279,2.4312,76.8296,91.5556,157.931
21.9055,2.4559,71.2428,90.5924,155.9465
20.4192,2.4726,65.6887,90.4256,155.1795
19.7379,2.4794,61.6317,90.7681,155.2531
19.6933,2.4749,59.9827,91.4283,155.4678
20.0382,2.467,60.4561,92.2248,155.6862
20.5126,2.4581,61.4335,93.0055,155.8143
20.9012,2.4536,61.1657,93.7096,155.8135
21.1283,2.4536,59.4166,94.3607,155.6596
21.2023,2.457,57.0401,95.0243,155.381
21.2006,2.4614,56.0196,95.7814,155.0072
21.2401,2.4648,57.9036,96.6364,154.614
21.3764,2.467,61.0255,97.5354,154.2936
21.6094,2.4693,64.7957,98.3792,154.4375
21.8743,2.4726,67.7773,98.9898,155.222
22.0863,2.4782,69.2923,99.2512,156.6152
22.2175,2.4838,69.1416,99.054,158.6693
22.3159,2.4872,67.3745,98.324,161.3322
22.5338,2.4849,64.5511,96.9552,165.071
23.0199,2.4771,62.181,95.0908,168.8734
23.8678,2.4637,61.7065,92.8421,171.4142
25.0672,2.4491,64.0482,90.3637,172.8698
26.4752,2.4357,68.9697,87.8582,173.1181
27.7874,2.429,74.3499,85.5295,172.0932
28.7479,2.429,78.4659,83.5164,169.0646
29.1609,2.4346,80.2519,81.9054,165.9552
28.8573,2.4447,79.6225,80.781,163.0949
28.0153,2.4559,78.0094,80.0262,160.7295
26.8184,2.4682,76.2202,79.5643,159.0179
25.5071,2.4816,74.3741,79.3131,158.1594
24.38,2.4928,72.1833,79.2061,158.4269
23.6096,2.5017,69.8279,79.161,159.2486
23.263,2.5073,67.8289,79.143,160.2631
23.3093,2.5096,66.9971,79.134,161.2537
23.6499,2.5096,68.3403,79.1261,162.0479
24.0621,2.5073,71.3388,79.1261,162.2405
24.3775,2.504,75.1533,79.1182,161.4049
24.454,2.4995,78.7453,79.1137,159.9981
24.1403,2.4939,80.5967,79.1205,158.2091
23.4716,2.4883,79.9757,79.1486,156.2297
22.5077,2.4861,77.0437,79.2027,154.0509
21.3613,2.4849,72.838,79.285,151.4638
20.1879,2.4883,68.5375,79.3942,149.1896
19.1357,2.4928,64.6671,79.5305,147.0252
18.287,2.4984,61.4156,79.6849,145.186
17.6772,2.5051,58.8662,79.8539,143.8402
17.3298,2.5107,57.1034,80.033,142.8464
17.1633,2.5174,56.2051,80.22,141.8198
17.1263,2.523,56.2062,80.4217,140.6705
17.1725,2.5275,56.707,80.6684,139.7216
17.2743,2.5308,56.9242,81.0289,139.3852
17.424,2.5353,56.4708,81.6541,140.1908
17.6604,2.5398,55.4492,82.623,143.2725
18.0515,2.542,54.3042,83.9816,146.5142
18.7151,2.542,54.5404,85.6816,149.67
19.6605,2.5353,57.2352,87.572,152.5728
20.8574,2.5241,62.1557,89.379,154.9732
22.1999,2.5096,67.7815,90.8841,156.8025
23.4842,2.4995,71.7468,91.9228,157.1886
24.5129,2.4961,73.0594,92.3047,156.3511
